feature,importance
radar_rate,0.67410445
msg_rate,0.29060608
imu_ratio,0.021360163
odometry_ratio,0.010728843
lidar_rate,0.0022625818
radar_ratio,0.00029645258
distance_km,0.00028319482
lidar_ratio,0.0001655063
imu_rate,0.0001116562
odometry_rate,5.5423847e-05
image_rate,1.6613058e-05
image_ratio,8.907738e-06
duration,0.0
