model,scenario,r2,rmse,r2_degradation,rmse_increase_pct
linear_regression,no_vision,0.9386745870529911,13105.941495947018,0.0,0.0
linear_regression,no_lidar,-0.10313994139217697,55585.72685595729,1.041814528445168,324.1261634896436
linear_regression,no_radar,0.8520407411408102,20357.24755523365,0.08663384591218093,55.32838721681371
linear_regression,no_imu,0.9702727546448356,9124.841262451284,-0.03159816759184453,-30.37630096797609
linear_regression,no_odometry,0.7306977157732469,27464.266389448978,0.20797687127974418,109.5558445605929
random_forest,no_vision,0.9853025580005583,6416.066577219041,0.0,-4.252580724468431e-14
random_forest,no_lidar,0.9181506467300224,15141.03664010601,0.06715191127053588,135.9862769171682
random_forest,no_radar,0.9798197585654089,7518.1530610531845,0.005482799435149399,17.176980172668728
random_forest,no_imu,0.8980484916415687,16898.36988478234,0.08725406635898958,163.37585000725952
random_forest,no_odometry,-0.16450479642545335,57110.850155848835,1.1498073544260117,790.1224678470021
xgboost,no_vision,0.9416071933591248,12788.737092236888,0.0,0.0
xgboost,no_lidar,0.941053940095478,12849.178870530402,0.0005532532636467469,0.4726172557742554
xgboost,no_radar,0.9399859597588816,12965.056594965105,0.0016212336002432437,1.3787092615677201
xgboost,no_imu,0.9441250270779677,12509.980915245971,-0.0025178337188429545,-2.1797005832587617
xgboost,no_odometry,0.9437241319987014,12554.77938078615,-0.0021169386395766265,-1.8294043404235443
