feature,coefficient
image_ratio,-7571631.57322774
odometry_ratio,667536.8533942869
lidar_ratio,-471991.34828044457
radar_ratio,33264.24059743719
imu_ratio,28484.786976672935
image_rate,1529.4983772511562
lidar_rate,681.64849618124
odometry_rate,-370.5772554541757
distance_km,309.11247548121605
msg_rate,50.77333953541881
radar_rate,27.84262123550826
imu_rate,-19.20980774706272
duration,0.0
