run_id,bag_name,slice_idx,duration,distance_km,weighted_pts,pts_per_km,total_msgs,image_msgs,lidar_msgs,radar_msgs,imu_msgs,odometry_msgs,msg_rate,image_rate,lidar_rate,radar_rate,imu_rate,odometry_rate,image_ratio,lidar_ratio,radar_ratio,imu_ratio,odometry_ratio
T-MULTI-FAST-POLI,T-MULTI-FAST-POLI_slice0,0,60.0,12.980993706784663,154078.7,11869.561258586009,90823,0,1152,68359,14402,2302,1513.7166666666667,0.0,19.2,1139.3166666666666,240.03333333333333,38.36666666666667,0.0,0.012684011759135902,0.7526617706968499,0.15857216784294728,0.025346002664523304
T-MULTI-FAST-POLI,T-MULTI-FAST-POLI_slice1,1,60.0,13.207568680642273,166989.4,12643.462550737948,98148,0,1200,74749,15000,2399,1635.8,0.0,20.0,1245.8166666666666,250.0,39.983333333333334,0.0,0.012226433549333659,0.761594734482618,0.15283041936667074,0.024442678404042874
T-MULTI-FAST-POLI,T-MULTI-FAST-POLI_slice2,2,60.0,13.011746053551304,159870.7,12286.644647231367,93099,0,1200,69702,15000,2397,1551.65,0.0,20.0,1161.7,250.0,39.95,0.0,0.012889504720781104,0.7486868817065704,0.1611188090097638,0.025746785679760256
T-MULTI-FAST-POLI,T-MULTI-FAST-POLI_slice3,3,60.0,25.99451046996958,167142.6,6429.919124389481,96645,0,1200,73250,14999,2396,1610.75,0.0,20.0,1220.8333333333333,249.98333333333332,39.93333333333333,0.0,0.012416576129132391,0.7579285012157897,0.15519685446738063,0.024791763671167675
T-MULTI-FAST-POLI,T-MULTI-FAST-POLI_slice4,4,60.0,21.05037392763889,164304.7,7805.310279275842,93867,0,1200,70470,15000,2397,1564.45,0.0,20.0,1174.5,250.0,39.95,0.0,0.012784045511202019,0.7507430726453386,0.15980056889002525,0.025536130908626036
T-MULTI-FAST-POLI,T-MULTI-FAST-POLI_slice5,5,60.0,32.42044840322224,168697.4,5203.425871902294,95289,0,1200,71890,15000,2399,1588.15,0.0,20.0,1198.1666666666667,250.0,39.983333333333334,0.0,0.01259326889777414,0.7544417508841524,0.15741586122217674,0.025176043404800133
T-MULTI-FAST-POLI,T-MULTI-FAST-POLI_slice6,6,60.0,11.198964201129975,169807.9,15162.82193159135,94950,0,1200,71551,15000,2399,1582.5,0.0,20.0,1192.5166666666667,250.0,39.983333333333334,0.0,0.01263823064770932,0.7535650342285414,0.1579778830963665,0.02526592943654555
T-MULTI-FAST-POLI,T-MULTI-FAST-POLI_slice7,7,60.0,15.920614091625415,170041.2,10680.567911601182,94445,0,1200,71048,15000,2397,1574.0833333333333,0.0,20.0,1184.1333333333334,250.0,39.95,0.0,0.012705807612896395,0.7522685160675525,0.15882259516120492,0.02537985070676055
T-MULTI-FAST-POLI,T-MULTI-FAST-POLI_slice8,8,60.0,12.628757236302777,172736.8,13678.052144628191,96001,0,1200,72605,14998,2398,1600.0166666666667,0.0,20.0,1210.0833333333333,249.96666666666667,39.96666666666667,0.0,0.01249986979302299,0.7562942052686951,0.15622753929646566,0.024978906469724272
T-MULTI-FAST-POLI,T-MULTI-FAST-POLI_slice9,9,60.0,12.522705496309259,173572.5,13860.623014024883,96066,0,1201,72665,15000,2400,1601.1,0.0,20.016666666666666,1211.0833333333333,250.0,40.0,0.0,0.012501821664272479,0.756407053484063,0.15614265192680032,0.024982824308288052
T-MULTI-FAST-POLI,T-MULTI-FAST-POLI_slice10,10,60.0,17.881515660669535,172989.2,9674.191119072218,95728,0,1201,72331,14999,2397,1595.4666666666667,0.0,20.016666666666666,1205.5166666666667,249.98333333333332,39.95,0.0,0.012545963563429718,0.7555887514624771,0.15668351997325755,0.025039695804780212
T-MULTI-FAST-POLI,T-MULTI-FAST-POLI_slice11,11,60.0,13.347849549375313,170793.3,12795.566759140855,94545,0,1200,71147,15000,2398,1575.75,0.0,20.0,1185.7833333333333,250.0,39.96666666666667,0.0,0.012692368713311121,0.7525199640382887,0.15865460891638902,0.025363583478766726
T-MULTI-FAST-POLI,T-MULTI-FAST-POLI_slice12,12,60.0,18.710873002749228,165547.0,8847.636343620943,92550,0,1201,69149,15000,2400,1542.5,0.0,20.016666666666666,1152.4833333333333,250.0,40.0,0.0,0.012976769313884386,0.7471528903295516,0.1620745542949757,0.02593192868719611
T-MULTI-FAST-POLI,T-MULTI-FAST-POLI_slice13,13,60.0,4.918259006915195,57213.0,11632.774914773114,35465,0,399,27666,5000,800,591.0833333333334,0.0,6.65,461.1,83.33333333333333,13.333333333333334,0.0,0.011250528690258001,0.7800930494854081,0.14098406880022557,0.022557451008036092
M-SOLO-SLOW-70,M-SOLO-SLOW-70_slice0,0,60.0,19.706951612796505,693462.6,35188.73002913892,481045,6882,5022,308972,14966,1194,8017.416666666667,114.7,83.7,5149.533333333334,249.43333333333334,19.9,0.01430635387541706,0.010439771746925963,0.6422933405398663,0.031111434481181595,0.002482096269579769
M-SOLO-SLOW-70,M-SOLO-SLOW-70_slice1,1,60.0,11.741110509518299,806019.9,68649.37514612223,544530,6954,5058,372013,15000,1200,9075.5,115.9,84.3,6200.216666666666,250.0,20.0,0.012770646245385929,0.009288744421794943,0.6831818265293005,0.027546691642333757,0.0022037353313867003
M-SOLO-SLOW-70,M-SOLO-SLOW-70_slice2,2,60.0,8.818602395337122,802176.8,90964.16461911866,540975,7100,5001,368379,15000,1200,9016.25,118.33333333333333,83.35,6139.65,250.0,20.0,0.013124451222330052,0.009244419797587689,0.6809538333564398,0.027727713849993067,0.0022182171079994455
